id,name,phone,email,city,joined,amount,notes
1048,Sumad Widi,0821 0201 7554,sumad.widi@example.org,Surabaya,2025-04-09,216360,
1049,Yawati Rigus,081225174275,yawati.rigus@example.net,Denpasar,2026-07-17,19824.00,
1050,Kalia Yagus,085138914695,kalia.yagus@post.example.net,Mataram,2026-08-24,134922.03,
1051,Yawan Surah,089525998423,yawan.surah@mail.example.com,Mataram,2026-01-04,72074.93,
1052,Katri Winur,081180510479,katri.winur@example.net,Medan,2024-01-28,107779.04,
1053,Desih Hagus,081855514398,desih.hagus@post.example.net,Mataram,2024-03-06,45987.67,
1054,Riwati Insih,085141601985,riwati.insih@example.org,Mataram,2023-02-06,249131.40,
1055,Riyan  Insih,081378175299,riyan.insih@post.example.net,Bandung,2024-02-21,92434.05,
1056,Tamad Hasih,0895 8910 0744,tamad.hasih@post.example.net,Medan,21.04.2026,184006,
1057,Zulia Citri,081711826061,zulia.citri@post.example.net,Mataram,2024-05-03,187278.28,
1058,Kanto Junto,081772519811,kanto.junto@example.com,Mataram,2024-01-16,61623.52,
1059,Innto  Nanto,081136512389,innto.nanto@example.com,Semarang,2024-01-15,"2.870,63",
1060,Yayan Lodi,081393362491,yayan.lodi@example.org,Mataram,2024-01-16,192064.76,
1061,Tawan Nasih,089553343769,tawan.nasih@mail.example.com,Mataram,2026-06-05,51007.17,
1062,Jutri Delia,081772049894,jutri.delia@example.org,Medan,2023-12-05,125829.42,
1063,Falia Tatri,081219913867,falia.tatri@example.org,Mataram,2023-06-12,39066.80,
1064,Juman Harah,082131287462,juman.harah@example.org,Mataram,2025-10-12,47502.47,
1065,Julia Yanto,081221629844,julia.yanto@post.example.net,Denpasar,2023-01-17,131653.85,
1066," Fatri Yarah",+6285198923246,fatri.yarah@post.example.net,Mataram,12/12/2025,"159.137,03",
1067,Yaman Puyan,081811312759,yaman.puyan@post.example.net,Medan,2024-05-16,125771,
1068,Zulia Tanur,081265551985,zulia.tanur@example.org,Mataram,2024-02-20,31482.17,
1069,Sundra Sutri,089599592566,sundra.sutri@example.org,Surabaya,2025-06-07,70979.15,"VIP, do not discount"
1070,Sugus Zugus,081796447925,sugus.zugus@example.org,Bandung,2023-11-22,156739.87,
1071,Tamad Tagus,081221096361,tamad.tagus@example.net,Mataram,2024-03-22,180184.98,"moved cities, update on renewal"
1072,Lolia Inndra,082140028452,lolia.inndra@mail.example.com,Mataram,2025-08-05,141105.07,
1073,Bunto Nawati,081706740550,bunto.nawati@example.org,Semarang,2024-11-21,"118.869,79",
1074,Bumad Yawan,081850082321,bumad.yawan@example.com,Mataram,21/09/2023,157226.43,
1075,Innto Tawati,082129387922,innto.tawati@mail.example.com,Surabaya,2023-06-11,39501.93,
1076,Lonto Cilia,081706776161,lonto.cilia@mail.example.com,Mataram,2025-01-14,91762.30,
1077,Girah Yamad,081354308345,girah.yamad@example.org,Semarang,2023-01-22,80054.57,
1078,"Munto Fasih ",081842950853,munto.fasih@post.example.net,Bandung,24/04/2024,158515.18,
1079,Andi Rinto,089570668285,andi.rinto@example.org,Surabaya,2026-03-19,94100.57,address unclear
1080,Gilia Ciwati,0821-0460-1808,gilia.ciwati@example.net,Mataram,2026-07-17,44447,
1081,Tamad Wiwan,081345516099,tamad.wiwan@example.net,Mataram,2025-01-12,141502.10,
1082,Yamad Pundra,082171187849,yamad.pundra@example.org,Padang,27.04.2026,17686.54,
1083,Burah Gisih,0812-0175-1271,burah.gisih@mail.example.com,Semarang,2024-08-08,71997.46,
1084,Wiwati Natri,081236841401,wiwati.natri@example.org,Bandung,2024-03-15,188532.26,
1085,Sunto Jurah,081846996069,sunto.jurah@post.example.net,Mataram,2024-08-24,183481.58,
1086,Halia Yanto,085139834342,halia.yanto@example.org,Mataram,2025-02-20,221367.80,
1087," Yandra Anman",082141662345,yandra.anman@post.example.net,Bandung,2026-04-01,100423.50,
1088,Lonur Handra,081279007241,lonur.handra@example.net,Bandung,2024-08-07,9052.46,
1089,Suwati Fasih,082128370098,suwati.fasih@post.example.net,Mataram,2025-12-22,183526.89,
1090,Deyan Harah,081870648993,deyan.harah@post.example.net,Mataram,10/03/2026,91543.27,
1091,Denur Buwati,082172697742,denur.buwati@post.example.net,Padang,2024-02-16,72969.33,
1092,Jurah Nawati,082137995072,jurah.nawati@example.com,Bandung,2025-09-23,83604.51,"duplicate of earlier signup, verify"
1093,Junur Rirah,0811-1753-0507,junur.rirah@EXAMPLE.COM,Mataram,2025-07-21,231227.96,
1094,Inrah Kalia,0812-8314-2454,inrah.kalia@example.com,Mataram,2024-01-05,7409,
1095,Kadi Inmad,085186539392,kadi.inmad@post.example.net,Bandung,2023-01-13,195610.52,
1096,Winto Deman,082151217231,winto.deman@example.net,Mataram,2024-12-06,109745.37,
1097,Cirah Giwati,+6285169831039,cirah.giwati@example.org,Mataram,25.10.2025,54501.25,
1098,Buwati Handra,085197774751,buwati.handra@example.net,Semarang,13.04.2026,184085.47,
1099,Hanto Zurah,089533144918,hanto.zurah@example.com,Mataram,2025-06-18,30528.30,"said ""call after 5pm"""
1100,Nalia Ingus,081112045331,nalia.ingus@example.org,Padang,2025-01-18,145664.40,
1101,Riwan Munur,081204222839,riwan.munur@example.com,Mataram,2025-02-08,11175.06,
1102,Dendra Zudi,089516343519,dendra.zudi@example.org,Surabaya,2024-12-08,50603.85,
1103,Bumad Fatri,089570796009,bumad.fatri@example.net,Makassar,2025-12-17,93383.77,
1104,Yanto Lotri,081325308190,yanto.lotri@example.com,Bandung,2024-04-20,175441.21,
1105,Bunto Yanur,081145957928,bunto.yanur@example.org,Mataram,2026-01-09,224593.86,
1106,Dewati Nasih,081846805863,dewati.nasih@example.com,Mataram,03.08.2025,1797.01,
1107,Zundra Wisih,082173988809,zundra.wisih@mail.example.com,Surabaya,2023-03-23,223108.71,
1108,Lorah Yawan,081180111917,lorah.yawan@post.example.net,Medan,2023-08-07,96260.91,
1109,Zutri Nayan,082109017776,zutri.nayan@example.org,Mataram,2023-03-25,227079.23,
1110,Anlia Ginur,081805782063,anlia.ginur@example.com,Bandung,2024-03-26,78804.38,
1111,Bunto Anyan,082184340791,bunto.anyan@example.org,Mataram,2024-11-20,10742.41,
1112,Zunto Puyan,081816938201,zunto.puyan@example.com,Mataram,2023-11-28,18528.92,
1113,Tanto Tanto,081185010973,tanto.tanto@post.example.net,Mataram,2024-03-12,7748.47,
1114,Ginto Ciyan,081806298681,ginto.ciyan@post.example.net,Surabaya,2025-11-06,245521.91,
1115,Wigus Antri,081826411543,wigus.antri@post.example.net,Mataram,2023-09-11,197200.31,
1116,Bunto Logus,081174028196,bunto.logus@example.com,Mataram,2026-05-17,17440.62,
1117,Giwan Rinto,081168658229,giwan.rinto@example.com,Mataram,2025-04-14,27974.48,
1118,Kadi Deman,0817 0683 4331,kadi.deman@mail.example.com,Mataram,2025-10-14,139496.59,
1119,Buman Nawan,089565887295,buman.nawan@example.org,Medan,2024-08-21,172710.38,
1120,Giwan Riwati,081155762830,giwan.riwati@post.example.net,Mataram,2023-06-23,229169.19,
1121,Hanur Surah,085130051918,hanur.surah@post.example.net,Mataram,2024-05-20,5090.49,
1122,Hasih Julia,089509822216,hasih.julia@post.example.net,Denpasar,2025-08-03,114278.31,
1123,Giman Hanur,089588260409,giman.hanur@mail.example.com,Mataram,2026-07-11,201594.04,
1124,"Nalia Mudi ",0895-8233-5267,nalia.mudi@example.org,Mataram,2026-03-20,"206.419,05",
1125,Fasih Tayan,082150579370,fasih.tayan@example.net,Mataram,2025-03-10,70512.19,
1126,Hadi Riman,081820623969,hadi.riman@example.org,Surabaya,2024-09-24,205733.79,
1127,"Murah Fawati ",081355976354,,Semarang,2024-03-20,40779,
1128,Wisih Yatri,081321846615,wisih.yatri@example.net,Bandung,2025-05-06,8417.27,
1129,"Zusih Yandra ",081219593347,zusih.yandra@post.example.net,Denpasar,2025-06-24,91314.12,
1130,Citri Bulia,082130406882,citri.bulia@example.net,Mataram,2023-12-14,145974.31,
1131,Harah Deyan,081779790444,harah.deyan@mail.example.com,Mataram,2023-11-27,220090.98,
1132,Tatri Yaman,081316456601,tatri.yaman@example.org,Bandung,2026-08-01,223772.44,
1133,Muyan Yayan,081396939775,muyan.yayan@mail.example.com,Mataram,2025-08-22,179300.01,
1134,Londra Ginto,081131943418,londra.ginto@example.com,Denpasar,2025-08-10,74789.77,"said ""call after 5pm"""
1135,Nalia Sugus,081847615020,nalia.sugus@example.org,Bandung,2023-11-07,113788.21,
1136,Kayan Losih,081719103079,kayan.losih@example.net,Bandung,2026-01-02,228097.15,
1137,Juwan Rilia,081883466760,juwan.rilia@post.example.net,Mataram,2024-11-26,225865.19,
1138,Wiman  Junto,+6281716273687,wiman.junto@mail.example.com,Mataram,2025-03-24,74615.33,
1139,Hanto Juman,089593426094,hanto.juman@example.com,Mataram,2024-02-05,198346.50,
1140,Tamad Zugus,081889996534,tamad.zugus@post.example.net,Mataram,2023-01-19,180791.65,
1141,Hanto Gitri,089579538270,hanto.gitri@mail.example.com,Mataram,2024-08-11,246409.90,
1142,Jugus Tagus,081253348266,jugus.tagus@post.example.net,Mataram,2026-02-26,175325.34,
1143,Zumad Mumad,081166748214,zumad.mumad@mail.example.com,Mataram,2026-07-05,27175.81,
1144,Puman Nanto,081327026297,puman.nanto@example.net,Mataram,2024-06-11,199894,
1145,Purah Ciwan,081826950411,purah.ciwan@example.net,Semarang,2025-12-12,27053.65,
1146,Muman Lowati,081391845174,muman.lowati@example.net,Padang,12/02/2026,15045.19,
1147,Junto Lonto,0811 5910 2886,junto.lonto@post.example.net,Mataram,28.11.2025,161768,
1148,Cisih Wirah,+6282151415919,cisih.wirah@example.org,Surabaya,2024-07-25,231199.81,
1149,Loyan Gilia,081393481517,loyan.gilia@example.net,Mataram,2024-10-04,9603.28,
1150,Cinto Lonto,089548320037,,Medan,2024-03-13,41570,
1151,Loyan Rindra,082197142531,loyan.rindra@example.net,Medan,2024-10-12,121376.89,
1152,Yayan Ciwan,081213820380,yayan.ciwan@mail.example.com,Mataram,2026-05-11,184543.55,
1153,Delia Puwati,081305999040,delia.puwati@post.example.net,Denpasar,2023-06-19,149499.27,
1154,Inwan Puman,081806833324,inwan.puman@example.com,Mataram,2026-04-26,169866.83,
1155,Nasih Zuwati,089589507094,nasih.zuwati@post.example.net,Mataram,2026-02-21,4693.70,
1156,Jugus Nanur,081307040154,jugus.nanur@example.com,Surabaya,2025-03-08,181788.65,"prefers WhatsApp, not email"
1157," Butri Mumad",081163395541,"butri.mumad@example.net ",Medan,28.12.2024,185488,
1158,Ansih Gimad,085147019098,ansih.gimad@example.net,Denpasar,2026-03-21,215648.13,
1159,Pundra Pugus,081149640629,"pundra.pugus@post.example.net ",Semarang,2026-07-17,35373.95,
1160,Derah Fawan,081189746499,derah.fawan@example.com,Surabaya,2023-04-02,246019.93,
1161,Bumad Wiwati,081899743688,bumad.wiwati@example.org,Mataram,2024-11-20,92744.06,
1162,Cimad Loyan,081365261924,cimad.loyan@mail.example.com,Medan,2023-03-25,113674.19,
1163,Andi Suwati,081117794556,andi.suwati@post.example.net,Mataram,2026-02-01,22380.75,
1164,Cinto Tandra,082103000847,cinto.tandra@example.com,Mataram,2024-10-26,199074.52,
1165,Dendra Munur,081396015516,dendra.munur@example.org,Mataram,2023-09-08,162698.41,
1166,Hadi Bundra,0812 6436 0417,,Mataram,2025-10-17,126779.00,
1167,Yanto Witri,081761440985,yanto.witri@example.com,Mataram,2024-01-21,75702.79,
1168,Fawan Sugus,081789917332,fawan.sugus@example.net,Mataram,2026-02-11,79014.39,
1169,Cigus Ginur,081894360333,cigus.ginur@example.net,Padang,2026-01-11,43236.02,
1170,Narah Loyan,081161712295,narah.loyan@example.com,Mataram,2024-01-19,94745.37,
1171,Zutri Tatri,081287396840,,Makassar,12/10/2024,201322.04,
1172,Buwam Gimad,081367936938,buwam.gimad@post.example.net,Mataram,2025-12-08,116254.31,
1173,Puman Lonto,081717717158,puman.lonto@example.com,Mataram,2024-09-06,116867.97,
1174," Anrah Fasih",081399026638,anrah.fasih@example.org,Surabaya,2024-12-26,54614.67,
1175,Anlia Detri,081865561663,anlia.detri@example.net,Denpasar,2023-09-06,98694.09,
1176,Deman Tasih,081152684239,deman.tasih@mail.example.com,Mataram,2026-07-26,60275,
1177,Zuman Logus,081732685638,zuman.logus@example.org,Surabaya,2025-04-16,103249.16,
1178,Pundra Zurah,082190528137,pundra.zurah@post.example.net,Mataram,2025-02-19,209708.24,
1179,Fanur Loman,082142263186,fanur.loman@example.net,Mataram,2023-05-10,83372.80,
1180,Lonto Pudi,089520524308,lonto.pudi@post.example.net,Mataram,2026-06-19,156302.50,
1181,Cinur Wiwan,+6281808930083,cinur.wiwan@example.net,Surabaya,2026-06-27,220045.28,
1182,Muwan Nawati,081208237032,muwan.nawati@post.example.net,Mataram,2025-01-14,34551.39,
1183,Fawati Ciyan,081784753474,fawati.ciyan@example.com,Mataram,2024-07-26,237036.89,
1184,Rimad Anndra,089559448022,rimad.anndra@post.example.net,Padang,2026-08-24,221125.57,
1185,Fawan Yandra,081142938154,fawan.yandra@example.net,Bandung,2026-01-14,200354.54,
1186,Cidi Fanto,081713543851,cidi.fanto@example.org,Surabaya,2025-05-15,166442.87,
1187,Kaman Rindra,081322956623,kaman.rindra@mail.example.com,Bandung,2025-09-07,166084.73,
1188,Tanto Zuwan,+6281122846764,tanto.zuwan@post.example.net,Mataram,2023-06-05,24527.50,
1189,Junto Sunur,081190524213,junto.sunur@mail.example.com,Mataram,2023-09-11,34089.62,
1190,Zusih Kanur,089547058296,zusih.kanur@mail.example.com,Mataram,2026-08-13,223693.65,
1191,Nanto Annto,0811 0712 7084,nanto.annto@mail.example.com,Mataram,2026-07-15,111334.00,
1192,Rimad Giwan,081763650512,rimad.giwan@post.example.net,Mataram,17/11/2024,142991.68,
1193,"Indi Namad ",081252841400,indi.namad@example.com,Denpasar,24/02/2026,131479.15,
1194,Susih Ginto,085178519944,susih.ginto@post.example.net,Mataram,2023-03-21,134090.16,
1195,Cidi Inyan,081251800126,cidi.inyan@example.net,Makassar,2026-02-02,79076.72,
1196,Kagus Nawan,081208696591,kagus.nawan@example.com,Semarang,2023-09-10,64619.24,
1197,Tanto Delia,+6281237276464,tanto.delia@example.net,Bandung,2025-10-21,"133.837,87",
1198,Zundra Suyan,081172265605,zundra.suyan@mail.example.com,Mataram,2024-07-05,25652.68,
1199,Loman Budi,089589289368,loman.budi@example.org,Mataram,2026-07-01,"37.586,42",
1200,Zumad Gitri,082106297670,zumad.gitri@example.com,Mataram,2026-03-06,129969.99,
1201,Kawati Hawati,085139706754,kawati.hawati@example.net,Mataram,2023-04-23,9971.92,
1202,Farah Zuman,081755477700,farah.zuman@post.example.net,Makassar,2025-06-08,175548.21,"wants invoice marked ""urgent"""
1203,Delia Nanur,081744235052,delia.nanur@example.net,Mataram,2025-06-27,166776.03,
1204,Lonur Giwan,081108563608,lonur.giwan@example.com,Makassar,2024-10-01,161564.22,
1205,Junto Muwan,082199559125,junto.muwan@example.org,Mataram,2024-03-01,40426.49,
1206,Yawan Zutri,082121804529,yawan.zutri@mail.example.com,Padang,2025-08-27,86156.86,
1207,Insih Yaman,085103888055,insih.yaman@example.org,Surabaya,2026-08-09,103574.51,
1208,Riman Rindra,085169556651,riman.rindra@example.org,Mataram,2024-10-26,211300.67,
1209,Talia Juyan,081301694749,talia.juyan@example.com,Mataram,2025-01-02,188553.71,
1210,Punto Wiman,081377478082,punto.wiman@example.com,Bandung,2025-03-01,240072.19,
1211,Suyan Lowati,081852390597,suyan.lowati@example.org,Mataram,2024-05-01,105131.29,"wants invoice marked ""urgent"""
1212,Giman Hagus,081118270641,giman.hagus@example.net,Medan,2026-06-28,62558.31,
1213,"Cimad Cinur ",0812 4993 6479,cimad.cinur@example.com,Mataram,2026-01-01,25916,
1214,Tatri Punto,089502501590,tatri.punto@mail.example.com,Mataram,2026-05-10,"4.512,38",
1215,Lolia Giman,089593335396,lolia.giman@example.org,Mataram,2024-05-09,157676.29,
1216,Kamad Degus,082143008594,kamad.degus@mail.example.com,Bandung,2026-08-21,181280.54,
1217,Puman Nawati,+6281839763584,puman.nawati@mail.example.com,Bandung,2024-04-11,121254.97,
1218,Farah Gimad,085126786150,farah.gimad@example.com,Mataram,2025-01-19,182979.24,
1219,Wirah Gisih,081759133082,wirah.gisih@example.org,Padang,2023-03-07,123504.96,
1220,Hayan Riman,081361961719,hayan.riman@mail.example.com,Surabaya,2024-01-23,111241.46,
1221,Andi  Butri,081286771184,andi.butri@example.com,Mataram,20/07/2025,155674,
1222,Loman Pundra,085130451897,loman.pundra@mail.example.com,Makassar,2023-04-20,87481.16,
1223,Munur Julia,081149320854,munur.julia@example.org,Mataram,2024-08-11,23152.70,
1224,Yayan Denur,081349748857,yayan.denur@post.example.net,Bandung,2023-09-14,190569.07,
1225,Julia Cyndra,081301467772,julia.cyndra@post.example.net,Surabaya,2023-03-05,97741.14,
1226,Putri Widi,081855002326,putri.widi@example.net,Bandung,03.02.2026,126329.49,
1227,Fawan Hatri,081835989010,fawan.hatri@example.org,Mataram,2025-08-23,156713.56,
1228,Witri Riwan,081236817635,witri.riwan@example.com,Mataram,2025-04-27,193858.14,
1229,Citri Nayan,081188899622,citri.nayan@mail.example.com,Mataram,2023-07-10,130423.45,
1230,Gidi Nasih,081316489565,gidi.nasih@example.net,Semarang,2026-04-15,149611.08,
1231,Fanto Anwan,089512757933,fanto.anwan@example.org,Mataram,2025-02-06,157281.19,
1232,Tamad Ginto,085141519156,tamad.ginto@example.net,Mataram,2026-07-18,36530.16,
1233,Jugus Dewati,082175387602,jugus.dewati@example.org,Padang,2023-01-24,244288.69,
1234,Ciwan Munur,081885580507,ciwan.munur@mail.example.com,Padang,2024-07-20,82131.74,
1235,Yasih Muwati,081225164617,yasih.muwati@mail.example.com,Mataram,2025-06-04,35447.83,
1236,Winto Lotri,081294722385,winto.lotri@example.com,Mataram,2026-06-21,138481.66,
1237,Fandra Fanur,089576592479,fandra.fanur@example.net,Mataram,2024-02-16,134434.94,
1238,Nawati Gigus,081202560047,nawati.gigus@example.org,Mataram,2023-12-19,12741.88,
1239,Harah Tanur,0813-5722-8832,harah.tanur@example.com,Semarang,2026-05-28,102044.53,
1240,Inwati Sundra,081242702387,inwati.sundra@example.net,Mataram,2026-01-03,79222.82,
1241,Muwan Fawati,081742064155,muwan.fawati@example.com,Surabaya,2023-11-20,215994.79,
1242,Mudi Ginto,085101284477,mudi.ginto@post.example.net,Mataram,2025-09-19,60003.65,
1243,Tayan Kamad,085183155957,tayan.kamad@mail.example.com,Medan,2025-04-16,174285.97,
1244,Ingus Nandra,081176278252,ingus.nandra@mail.example.com,Mataram,2023-06-17,196363.37,
1245,Zudi Yayan,081194677506,zudi.yayan@mail.example.com,Mataram,2026-05-04,128829.75,
1246,Rinto Giman,085112310209,rinto.giman@example.org,Padang,2024-01-28,"154.039,96",
1247,Zomad Londra,081353050492,zomad.londra@post.example.net,Mataram,2025-05-01,217132.75,
1248,Farah Busih,085133774617,farah.busih@post.example.net,Bandung,2025-11-10,81242.02,
1249,"Mugus Butri ",081892899273,mugus.butri@post.example.net,Bandung,2025-01-14,91753.68,
1250,Mutri Nanur,085118067955,mutri.nanur@example.net,Surabaya,2023-01-18,127334.25,
1251,"Losih Yayan ",081726791431,losih.yayan@example.org,Mataram,10/04/2025,156042.46,"moved cities, update on renewal"
1252,"Anwati Ginto ",089507883503,anwati.ginto@post.example.net,Mataram,2023-02-23,123532.88,"duplicate of earlier signup, verify"
1253,Citri Zudi,081305546258,citri.zudi@mail.example.com,Mataram,2024-03-28,178804.20,
1254,Gitri Jumad,085122890193,gitri.jumad@post.example.net,Padang,2025-07-16,20587.39,
1255,Purah Budi,085165843277,purah.budi@example.com,Mataram,2025-11-20,15155.19,
1256,Cilia Nasih,082163346434,"cilia.nasih@post.example.net ",Mataram,18/12/2024,174531.58,
1257,Losih Halia,081396674022,losih.halia@example.net,Surabaya,2023-12-01,115221.72,
1258,Tatri Zunto,081726886544,tatri.zunto@example.net,Mataram,2025-03-25,247229.54,
1259,Buman Giwati,081303105798,buman.giwati@example.net,Semarang,2024-03-12,52511.70,
1260,Annur Anwan,0818-4410-7849,annur.anwan@example.net,Mataram,2023-12-01,"94.183,07",
1261,Susih Insih,081317335070,susih.insih@example.org,Mataram,2025-03-22,100600.25,
1262,Muwan Anman,081700503416,muwan.anman@example.com,Surabaya,2023-12-22,187653.95,
1263,Cilia Bugus,0817 2512 6895,"cilia.bugus@example.net ",Medan,2024-06-08,194631.63,no answer on the number given
1264,Kawati Putri,081288339993,kawati.putri@example.org,Mataram,2023-07-03,189558.33,
1265,Yalia Bundra,081832003386,yalia.bundra@post.example.net,Surabaya,2026-03-23,188298.39,
1266,Bunur Hasih,089541084160,bunur.hasih@example.com,Mataram,2024-10-14,88747.05,
1267,Kasih Andi,085181006599,kasih.andi@example.com,Medan,2026-04-09,125044.79,
1268,Fanto  Kanto,0821-2184-7283,"fanto.kanto@example.com ",Mataram,2024-10-18,144026.16,
1269,Muman Inyan,081279757351,muman.inyan@example.org,Mataram,2024-08-15,48395.16,
1270,Tagus Wimad,081188828709,tagus.wimad@example.net,Mataram,2023-02-23,169825.71,
1271,Zudi Wiwan,081284537069,zudi.wiwan@example.org,Mataram,2023-07-24,207607.58,
1272,Busih Fagus,+6282102808026,busih.fagus@mail.example.com,Mataram,2024-07-14,233125.10,
1273,Riwan Juman,081102441603,riwan.juman@post.example.net,Mataram,2026-05-13,214518.65,
1274,Zunur Bundra,081229369210,zunur.bundra@example.com,Mataram,25/09/2024,42786,
1275,Gidi Zunto,081253960530,gidi.zunto@example.org,Mataram,2026-07-03,77767.58,
1276,"Inrah Wiyan ",089596610454,inrah.wiyan@example.net,Mataram,2024-03-09,"232.600,83",
1277,Zumad Nawati,081847455717,zumad.nawati@post.example.net,Mataram,2026-06-05,249530.20,
1278,Yanur Zulia,081107602585,yanur.zulia@post.example.net,Padang,2024-02-28,198175.74,
1279,Anmad Girah,081221639330,anmad.girah@example.net,Mataram,2023-06-23,67982.41,
1280,Yawati Gindra,081883471528,yawati.gindra@example.com,Bandung,2024-01-25,9599.36,
1281,Jurah Kaman,081388519552,jurah.kaman@post.example.net,Mataram,2023-10-05,178654.57,
1282,Mulia Putri,089547942082,mulia.putri@mail.example.com,Bandung,2025-06-05,141323.36,
1283,Wiwati Handra,082104024312,wiwati.handra@example.org,Padang,2026-07-06,126709.93,
1284,Buwan Inndra,081290719167,buwan.inndra@example.com,Padang,2026-02-01,223932.23,"said ""call after 5pm"""
1285,"Tamad Winur ",0821-0011-8178,tamad.winur@example.net,Mataram,2025-02-17,"125.293,30",
1286,Inndra Sutri,081110834816,inndra.sutri@post.example.net,Makassar,2023-11-22,208582.26,
1287,Nanur Tawan,082105997055,nanur.tawan@mail.example.com,Mataram,2025-01-16,20089.24,
1288," Naman Anman",0895 0234 6184,naman.anman@mail.example.com,Medan,27.02.2025,225380.19,
1289,Zugus Sudi,081121623309,zugus.sudi@example.net,Denpasar,2024-06-19,22332.65,
1290,Annto Kanto,081138750741,annto.kanto@example.net,Surabaya,2026-08-15,206602.04,
